54.691,100,54.931,87.002,61.851,93.206,59.612,96.469
52.259,100,52.544,88.463,58.427,94.112,60.141,96.432
53.362,100,58.28,87.157,60.675,94.187,60.857,96.633
49.79,100,60.274,86.855,55.128,93.887,52.632,96.967
53.327,100,55.828,84.893,56.754,94.904,60.475,96.587
53.833,100,54.154,87.784,52.689,94.963,56.671,97.465
60.897,100,65.38,86.611,63.869,93.534,63.156,96.997
56.83,100,61.854,87.475,60.422,94.61,62.072,96.579
48.567,100,58.389,87.491,54.783,94.981,57.647,96.84
53.767,100,51.364,86.254,49.098,93.175,48.148,96.303
55.953,100,55.085,87.615,58.536,94.152,56.988,96.578
49.329,100,47.705,87.078,52.188,94.272,50.811,96.419
53.269,100,61.191,86.7,56.136,93.8,57.714,96.757
54.606,100,56.309,84.015,59.537,93.008,56.841,95.905
55.484,100,57.278,86.949,54.827,92.801,54.778,95.706
51.499,100,57.574,86.395,49.864,94.473,52.002,96.202
54.966,100,60.819,86.79,58.079,93.419,56.508,97.307
50.348,100,51.624,84.995,54.649,93.5,55.088,95.925
46.347,100,55.64,86.576,52.81,94.131,50.791,95.877
53.789,100,55.962,86.584,51.889,94.087,53.706,95.164
